N,P,K,temperature,humidity,ph,rainfall,label,ec
57.0,57.0,75.0,17.09104223,18.25142068,7.785039076,87.27444866,chickpea,1.07
34.080725066793505,136.71434151007895,188.30812255100548,17.70623267195481,95.03571570436783,5.905486900842512,87.60605204671862,apple,1.29293280366127
5.17008783505316,35.08091092202573,28.7286553154307,26.78388107591869,95.91549221454869,6.426765921275979,216.19560396822078,coconut,0.3292523911269001
117.0,76.0,47.0,25.56202173,77.38229006,6.119216009,93.10247183,banana,1.7
31.0,121.0,201.0,23.15791104,90.34396882,5.731535257999999,110.712841,apple,1.46
48.0,65.0,78.0,17.43732714,14.33847406,7.861128148,73.0926704,chickpea,1.56
34.84601295366346,72.19165498408094,16.294906188925527,31.605458399086253,57.20194860443795,6.408115199522648,134.0449210752416,pigeonpeas,1.3820177892310206
22.627572510970047,69.24336621174301,23.866970126960815,18.365302622184664,19.09497462815624,5.580802780611094,66.87417716743238,kidneybeans,1.2277628139338639
11.710578143862364,13.657059870449253,38.060499013851825,22.225474505318093,86.26974936763852,7.152906693513029,113.80474892051825,pomegranate,1.2416498674260603
23.582289696671964,55.31037684727824,6.38337958712396,29.870212154699786,81.76063204815675,6.984947993624199,71.14486242092069,mungbean,0.3852834139684175
36.0,55.0,20.0,27.01470397,84.34262707,6.635968697999999,55.296354,mungbean,0.44
6.0,13.0,9.0,34.51423957,90.56151463,7.786725333,118.32719679999998,orange,0.8
110.04724771028744,44.98780642614784,19.249235940123402,22.156260146119777,75.82663254304784,6.701738972104223,98.167352459754,cotton,1.178067453166896
16.0,51.0,21.0,31.01963639,49.97675220000001,3.532008668,32.81296548,mothbeans,0.18
0.0,145.0,205.0,21.22503442,90.09877774,5.52078314,113.9760462,apple,0.91
23.0,138.0,200.0,9.851242629,80.22631717,5.96537863,68.42802444,grapes,0.48
82.0,35.0,35.0,25.49386782,86.97061481,7.299076163,176.5268267,jute,0.73
8.336962548965873,56.10604157692811,17.238198975853532,19.40173446650054,19.835056751697593,6.272946467151665,124.67269224063692,kidneybeans,0.13405376556909873
34.54806204373401,77.53225310745087,81.0086098503024,16.37707835093647,20.765692154441854,8.882179752648227,83.44639896505312,chickpea,0.48380569005928625
84.0,38.0,43.0,26.57421679,73.81994896,7.26158085,159.3223075,jute,0.85
40.568422397734935,75.33442066437448,28.40327193319129,20.418509271669276,60.540312827864796,6.533961601038288,62.58603185392681,lentil,1.1045601379313048
117.18710541211273,25.591979079917735,58.814147479580036,23.629916441470897,86.49276445032802,6.738481392172182,31.945746125165485,watermelon,1.4718395040101133
23.105587118514272,48.08201922269714,20.911552543713277,28.774285998313523,47.69265964177072,9.18094544825463,51.258845395045896,mothbeans,1.421750418807707
50.78186366722186,125.94292659880217,189.76666755772396,24.74232123435538,88.48123668345855,5.973472664330607,97.58138394804999,apple,0.7141325424892885
15.74050546788984,38.83997078517566,35.503346067958546,30.471487735443684,43.516728575037924,9.145281649432151,65.79710940118636,mothbeans,1.802808096745342
0.0,0.0,39.44945690245951,29.305438051011706,91.88459581186686,6.539274970832825,129.84705303475377,coconut,0.5858902207607615
100.0,32.0,26.0,25.234661,57.53161469,6.043485685,124.2261737,coffee,1.78
